week,lab,new_models,price_changes,changelog_updates,blog_updates,job_delta,score,breakdown,details
2026-W23,OpenAI,0,0,0,0,0,0,sem mudanças mensuráveis,
2026-W23,Anthropic,0,0,0,0,0,0,sem mudanças mensuráveis,
2026-W23,Google / Gemini,0,0,0,0,0,0,sem mudanças mensuráveis,
2026-W23,xAI,0,0,0,0,0,0,sem mudanças mensuráveis,
2026-W23,Mistral AI,0,0,0,0,0,0,sem mudanças mensuráveis,
2026-W24,OpenAI,0,0,0,0,0,0,sem mudanças mensuráveis,
2026-W24,Anthropic,0,0,0,0,0,0,sem mudanças mensuráveis,
2026-W24,Google / Gemini,0,0,0,0,0,0,sem mudanças mensuráveis,
2026-W24,xAI,0,0,0,0,0,0,sem mudanças mensuráveis,
2026-W24,Mistral AI,0,0,0,0,0,0,sem mudanças mensuráveis,
