week,lab,score,rank,destaque
2026-W23,OpenAI,0,1,sem mudanças mensuráveis
2026-W23,Anthropic,0,2,sem mudanças mensuráveis
2026-W23,Google / Gemini,0,3,sem mudanças mensuráveis
2026-W23,xAI,0,4,sem mudanças mensuráveis
2026-W23,Mistral AI,0,5,sem mudanças mensuráveis
2026-W24,OpenAI,0,1,sem mudanças mensuráveis
2026-W24,Anthropic,0,2,sem mudanças mensuráveis
2026-W24,Google / Gemini,0,3,sem mudanças mensuráveis
2026-W24,xAI,0,4,sem mudanças mensuráveis
2026-W24,Mistral AI,0,5,sem mudanças mensuráveis
